#Event	Year	day.frac
21789	2005	1.22708
21790	2005	1.47500
21791	2005	1.70833
21792	2005	1.74028
21793	2005	2.01250
21794	2005	2.06597
21795	2005	2.26111
21796	2005	2.33403
21797	2005	2.56389
21798	2005	2.61111
21799	2005	2.85139
21800	2005	2.97153
21801	2005	3.15625
21802	2005	3.35625
21803	2005	3.41667
21804	2005	3.67569
21805	2005	3.81736
21806	2005	3.84444
21807	2005	4.02014
21808	2005	4.09514
21809	2005	4.16667
21810	2005	4.32083
21811	2005	4.49444
21812	2005	4.57500
21813	2005	4.72917
21814	2005	4.85972
21815	2005	4.88403
21816	2005	4.97153
21817	2005	5.09931
21818	2005	5.19861
21819	2005	5.32222
21820	2005	5.41945
21821	2005	5.67083
21822	2005	5.92917
21823	2005	6.78819
21824	2005	7.49167
21825	2005	7.59028
21826	2005	7.88264
21827	2005	7.91250
21828	2005	8.14306
21829	2005	8.43750
21830	2005	8.78264
21831	2005	10.85069
21832	2005	11.19514
21833	2005	11.33681
21834	2005	11.64444
21835	2005	11.87569
21836	2005	11.96875
21837	2005	12.11389
21838	2005	12.41528
21839	2005	12.54097
21840	2005	12.73958
21841	2005	12.85208
21842	2005	13.15903
21843	2005	13.18542
21844	2005	13.42708
21845	2005	13.67153
21846	2005	13.81042
21847	2005	13.91528
21848	2005	14.20764
21849	2005	14.84792
21850	2005	15.13542
21851	2005	15.18125
21852	2005	15.23194
21853	2005	15.33958
21854	2005	15.56319
21855	2005	15.70347
21856	2005	15.82917
21857	2005	16.05972
21858	2005	16.24931
21859	2005	16.39861
21860	2005	16.43889
21861	2005	16.68750
21862	2005	17.03472
21863	2005	17.33819
21864	2005	17.39236
21865	2005	17.59792
21866	2005	17.67500
21867	2005	17.99931
21868	2005	18.04792
21869	2005	18.17361
21870	2005	18.27153
21871	2005	18.39167
21872	2005	18.53264
21873	2005	18.72292
21874	2005	18.78750
21875	2005	18.85069
21876	2005	19.00278
21877	2005	19.05069
21878	2005	19.44375
21879	2005	19.91042
21880	2005	20.57083
21881	2005	20.62431
21882	2005	21.01875
21883	2005	21.46944
21884	2005	21.70833
21885	2005	21.92153
21886	2005	22.10139
21887	2005	22.55417
21888	2005	22.81042
21889	2005	23.10972
21890	2005	23.37292
21891	2005	23.51389
21892	2005	23.65208
21893	2005	23.86180
21894	2005	24.53958
21895	2005	24.63820
21896	2005	24.72917
21897	2005	25.80347
21898	2005	28.80417
21899	2005	29.25486
21900	2005	29.42292
21901	2005	29.61250
21902	2005	29.75486
21903	2005	29.92847
21904	2005	30.13264
21905	2005	30.40417
21906	2005	30.51320
21907	2005	30.92083
21908	2005	31.06806
21909	2005	31.27222
21910	2005	31.46944
21911	2005	31.59861
21912	2005	31.80417
